company_link,company_name,job_link,job_location,job_summary,job_title
,xometry,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CD0OELDEqnL1IQCqVn7JgUoxXlX_sWZXJ9O4WRWF7QAoM98PEH3ZJjA_WW0BamLBAM1zBjSphw4wS8yZn8FeByfwrjaqRE1p03_y-n2hTd1cR7d8JCY89AwLjLYNasrvIUbF3jJ-ua3Hg4tvrwPdEE2JfkGgWeLvch1f0IJPupPMnCYQZXzTCpKNTqsJLsNEQbr-8M7UeBswq33p8mFJ1H2YcG4lS3MZJICbGobeUbzTxZzUy4NbVb3Vs00TSFe0Jvnc9_mC4i7V63CNnG-yQ71ciOqyVVmpvP2MRp498MXlqTYdZ4kODnWJQZkwxRIM1MKQvKTH5ZJ_3Y8heeD7EcwasE08Qk2leIJYnV1SThgUm_lS1VRv5KtBwGnVH0Iz9VHuGAXumUNAElDNLqUbXM&p=3&sk=&fvj=0,"Durham, NC","Xometry is seeking a data scientist to build the proprietary software that powers our analysis engine. Knowledge of machine learning, optimization, and fitting...",Data Scientist
,"Syntelli Solutions, Inc",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dqrr-Rjg2XLksGNbp1zr5zrpCZUmaYUPA5zQ_vrCj_X6a_99tNJpNpXW6b2-NnzR-s72LGlIrkkvWFRwr2frmiwkGfTVc8Qgg6uKo4D4z8Hcb6niEHqdp_J0Q9g6aYSoYTmug_FVffV-BytzsyRywat9mGc-I5TUAymIYFBXXqU7SvG0Vv3Laarq08qra6wirI6n-hk7tsgGPC1g1tJ399Zc8g02Bx4RsBMKFhDw1vWFzR08H4vuBI4PsZ6uouQajcQ9ymacLxuOtjBtNpXgbv296EWqCDc9vw41-MVWev51Miwdp7nJnCshpGltOu4Ru4jrgyDm5k_v9qgmXNsK1lhYhSTrDEsgQ-AXu62XIOagJnupQMKWw5sfjECe0VeZWrcTEVXAw31jUy2_BuTwC5NXGeNl8tjbsoLo2_4nHd1Q==&p=1&sk=&fvj=1,"Charlotte, NC 28277",2+ years as Senior/Lead Data Scientist. Lead role in our very fast growing Data Science team from marketing analytics perspective....,Data Scientist
http://www.indeed.com/cmp/Novetta,Novetta,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZbghDog6eAFViHltrtimeH7IE6OveQ-GQud_7SkddKZ31ufd3YNXn3pfpzCV9ckU8aF4FXEMdNMMuriPqwkORncW9ijpAUQMteJKA5qO_YPdZyJ6yQp__XO5UMaH6318gaUwG-w8bOWQ0mwrowcbvEOUiAAzltGiK1yRfwmt6c-lMvpFxeUOlKHejKZSI2h27GNG03N9v7n-vXk-CZjv0EACkqlb3zLbkTjSg5AEAPdXNN-y6uiWppgdyOohnQybB7uKKobt2MFM9uv5bRpQ6Bnh4fwRap4HzQBtvquLdr1qSLvtCzZnoY81knIqNHOPsXBaDz19YjwUqUjGWeAMQf4bV0aN0EkaSsR0nm3t-jCN0QmxaEoB8AoBMKeIyJgOZFwydKL-O6nNvmdlvx7lpVqyPtwlK8FjdBIGTdKE87gqabGGt_jEc2dGvgxyL261JZYMJjX7vhvV-etaI0ac5m9r7kd5Sflitk_pwHMtuTFMYUmszCIYq4umqjo6gvfJZZCqGXa1bXXPkNSrPFc0hkYbNSkmCltgOFoVTBnOWd5lK632xAOy3v3Kab2U5vVZtiJWLHddFxX9-34AbbYntZt0PmMjYy2_YckRNE_eLfqqJ_dt4j1SfKkDW5clzYYdqeLhSdHIHbIAo9bmJvXMP6CEDmqZaEfoq5_tXfhtQICmvKUJiOdAaTK9lZyBuu_bnZFXryVTfsbDCVGlUENGXErV1o42CVKbg4AjE42-QuSioTgMoi2-HVeGy23zZZ76sgap_mpRQWLe6H4v205o8T3pgKhFnXInA2A7pZdhKKbDRhc42DgLUrIgvFREN34SqV-Ynny7gPg==&p=2&sk=&fvj=0,"Crystal City, VA","Experience applying data mining and machine learning techniques in a professional context. Knowledge of data mining and machine learning algorithms, theories,...",Data Scientist
,xometry,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CD0OELDEqnL1IQCqVn7JgUoxXlX_sWZXJ9O4WRWF7QAoM98PEH3ZJjA_WW0BamLBAM1zBjSphw4wS8yZn8FeByfwrjaqRE1p03_y-n2hTd1cR7d8JCY89AwLjLYNasrvIUbF3jJ-ua3Hg4tvrwPdEE2JfkGgWeLvfuRLVzY66TxryGsNbeP5exwIDO5ZdSGd3q9ZnYndNBjsqQE821L_UA5Po59mV3pFvBlE0qqCeKi02_iP0EGu38W-6c1kBqgw8Laf5CCleom7aYQSXtayD9ESxXN7YIHASxpIv6xI4QXoUVUrQdTnvICeurtNsuxSKE6ylmVn4Uv1bh2QxZYBvjRqz1OjZhNpNvEe7ImPZtzo6Fm-UhCztFbpSCcN-r1k1MAFF2OY02w5sOR96G55H_&p=3&sk=&fvj=0,"Durham, NC","Xometry is seeking a data scientist to build the proprietary software that powers our analysis engine. Knowledge of machine learning, optimization, and fitting...",Data Scientist
,NIT Finance,http://www.indeed.com/company/NIT-Finance/jobs/Senior-Data-Scientist-293a1db47cfb7b74?fccid=5f3219a13b119574,"New York, NY","Working in Enterprise Data Management organization, the Senior Data Scientist will work with data teams to evolve machine learning and data scientist...",Senior Data Scientist
http://www.indeed.com/cmp/Walt-Disney-Parks-and-Resorts,Disney Parks & Resorts,http://www.indeed.com/rc/clk?jk=0c097ef8fd0cff2d&fccid=8bf14a332dadf35b,"Lake Buena Vista, FL","Analyze and summarize data form multiple data sources (e.g., Food & Beverage Data Warehouse, D3, SAP, Longview)....",Statistical Associate
http://www.indeed.com/cmp/Life-Time-Fitness,Life Time Fitness,http://www.indeed.com/rc/clk?jk=87a8dd79d88857d1&fccid=8f04ebcdc1ee8430,"Bloomington, MN",Experience tracking statistical data for basketball games. Track all relevant statistics during games. Work closely with League Coordinator to ensure member...,Ultimate Hoops Statistician
http://www.indeed.com/cmp/Pfizer-Inc.,Pfizer Inc.,http://www.indeed.com/company/Pfizer-Inc./jobs/Senior-Principal-Scientist-b03f7acc1b882d48?fccid=5e118f74384e090a,"Cambridge, MA","Including R, python, perl, SQL. Validation through advanced data analysis and data integration. Manage direct matrix computational resources to achieve goals on...",Senior Principal Scientist- Computational Biologist
http://www.indeed.com/cmp/Nationstar-Mortgage,Nationstar Mortgage,http://www.indeed.com/rc/clk?jk=fa376a342d06c4a3&fccid=96c396452fc9f9bb,"Coppell, TX 75019","Development and management of predictive models, segmentation models and portfolio analytics • Monitor the effectiveness of models in use and continually update...",Quantitative Analyst Intern
http://www.indeed.com/cmp/Mosaic-North-America,Mosaic North America,http://www.indeed.com/rc/clk?jk=f8c84edeffec8a70&fccid=1c4aa3d5a92746d4,"Jacksonville, FL 32216 (Tiger Hole-Secret Woods area)",Experience with analytics using structured and unstructured data sources preferred. The Data Scientist will be a part of a team chartered to merge and mine...,Data Scientist
