,company_link,company_name,job_link,job_location,job_summary,job_title
12,http://www.indeed.com/cmp/Walmart-Ecommerce,Walmart eCommerce,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ASqHCEO9GpEUGjkXl8JxXxJB8G4bxm4-V1wqiPq6GTVg0dexUg4LUC1Xvy-Hj3JfvgW6Kn5vqROfEP7DBmdabnwGqVZXSr7gqBOaZltwR5TlPJtKzwqE1-IO0CXhoGzDGP3SoNTUll19CumPRXZrVt-o1AR9G56JujsAl22LmXLozwuJg2he4-SKhPfRbJ6SgQct24z7dGsod-y5eFYljhv0I8spCcT-zqq6J7lB5lhm8jPpgT3Zsv5ovxwXFCRBPLVt25v529WId87DyKVMH2Hdz7wXjEShKZtGFiV4hcdXkR75-SD0WNudc-I6RMnyWTW9_bjf3pofxU5LpW0hRsFXsbREjDFwRPm--G5CXn1kAeNtm4QU-fu9_fndvMn5b08B1YJ0ulRIPwd_LtYp03&p=3&sk=&fvj=0,"San Bruno, CA 94066","We employ big data at scale -- from machine learning, data mining and optimization algorithms, to modeling and analyzing massive flows of data from online,...",Data Scientist
13,http://www.indeed.com/cmp/Apple,Apple,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ALQmW7bRT3ZHKtaJjNXoPCk-0cM-l34xOFPWKqIvS2lWSq05NV_kkvGRlQcNMmayG_IF0sJM754ko_fNdaAu4z8ZTtrZ1NKD-tCAelz2kg6rHF6SKruD7fmyblbL-ByvZUQcBz8vJ2i6w4btzl6_ITEbniYujTY82xbNj6Y2uDZqnUmqmrQPLTRYeQVusnowY56i4B1GO3qoaUVp-8ILQa5CJ2lhGKTm5jivZx_wHvhkZpBchLnI_Rtoruz19UhqtTxAlqcnE_oh_S5sl5Abe520MULzDVPXn39rm_MVC6uH2n_a1afSzrmD2qlp3jTapt9wp0nkv7svBJUBR80bUnSOM9ULQprEeZfz_SQ5S8Aw06htCW9UzHyCAk2oT83c_-j82rYrxWpJI6wkrstpqo-PBTYsjC4g8kr_YbfjJfJJoi7mOa8nSq1mZq4Yi6aCPj8sXO4pLO4pVjMQjAKwM4rEN65IQ2qELyXOWqpT1UiaQjpMd_KgK1AUzI6egklE31NR9kYrZ8MuVOBPu_M0tiXWAYxi31Ra8FdxLqRv1drAdZbrxtdb6y&p=1&sk=&fvj=0,"Santa Clara Valley, CA","Graduate degree required in Business (with quantitative emphasis), Statistics, Data Mining, Machine Learning, Analytics, Econometrics, Mathematics, Operations...",Sr. Data Scientist for Product Marketing - Customer Analytics Engineering
14,http://www.indeed.com/cmp/Walmart-Ecommerce,Walmart eCommerce,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ASqHCEO9GpEUGjkXl8JxXxJB8G4bxm4-V1wqiPq6GTVg0dexUg4LUC1Xvy-Hj3JfvgW6Kn5vqROfEP7DBmdabnwGqVZXSr7gqBOaZltwR5TlPJtKzwqE1-IO0CXhoGzDGP3SoNTUll1xhn7NJxNuAuXlNhwINfAT4Fx4OXiBYnXn1TnsdE8PSC_ltFOgcyxjsrC73W1LbikTx5bTs5zrOG0mVDrtswuhfSB7IrkDoxQ8audHVkGWHzdx2Wll8nlk4hR1DadyG0sTcqJxvJ_QxTRn-szU41HqhMZOCXhWe11pb6a1YDEZUB6H5KKIbp3XbgImTejj6lB5gQS4ASPaU-XXV9EE53hAw5jPafl_aCRFw3qG8IZ3XShAboX2EP2Kik0QJt98iTka6vYW82QaOZ&p=2&sk=&fvj=0,"San Bruno, CA 94066","We employ big data at scale -- from machine learning, data mining and optimization algorithms, to modeling and analyzing massive flows of data from online,...",Data Scientist
15,,"Syntelli Solutions, Inc",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dqrr-Rjg2XLksGNbp1zr5zrpCZUmaYUPA5zQ_vrCj_X6a_99tNJpNpXW6b2-NnzR-s72LGlIrkkvWFRwr2frmiwkGfTVc8Qgg6uKo4D4z8Hcb6niEHqdp_J0Q9g6aYSoYTmug_FVffV-BytzsyRywa30DUuNVKAfCkGOt215ReFB7myJIYfKB2IkMyTr4NEchwqoZCSQM-XE0KOFClRUArY7ZJM2zd9sIxlY5r-PVmAC8zTOQOmnKiI1T9ocf_Qz2Jpwx6OWf8bzRdBkvhRMYJ7N6f-7YRgZq-E5VaMSF-CKaEpW055KQg1bY7YICxX3yxgBD_isjDCQXTX_D17wcWVuGIAUcxvCf3A5SFHlxOwgOu7cioF1vAhXsNBHLLO72mqFPehJjsbOa3N7ZFookiDauGvuOeu3GuVGOA6qIx8A==&p=3&sk=&fvj=1,"Charlotte, NC 28277",Senior/Lead Data Scientist:. 2+ years as Senior/Lead Data Scientist. Lead role in our very fast growing Data Science team from marketing analytics perspective....,Data Scientist
16,http://www.indeed.com/cmp/Sni-Technology,SNI Technology,http://www.indeed.com/rc/clk?jk=f2afdbf7e41d0699&fccid=d971d823fda59d6b,"Jacksonville, FL","Three years experiences with machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc and with common data science...",Data Scientist
17,http://www.indeed.com/cmp/Boeing,BOEING,http://www.indeed.com/rc/clk?jk=69924cfba1264ede&fccid=edae4285faf6c2f0,"Springfield, VA","Skilled scientists and thinkers. A technical degree is defined as any four year degree, or greater, in a mathematic, scientific or information technology field...",Spacecraft Engineer (Level-2) - Support Analyst
18,http://www.indeed.com/cmp/Wellcare,WellCare,http://www.indeed.com/rc/clk?jk=29d586343fb34fb7&fccid=18b6c9d5c740e622,"Tampa, FL 33634","Preferred Other Registered Health Information Administrator (RHIA), Registered Health Information Technician (RHIT) OR Certified Coding Specialist (CCS)...",Claims Coding Research Analyst
19,http://www.indeed.com/cmp/Boeing,BOEING,http://www.indeed.com/rc/clk?jk=7bd1d768f21be939&fccid=edae4285faf6c2f0,"Titusville, FL 32780","Skilled scientists and thinkers. Serial Data over Ethernet. Network engineering (voice, data and video). Quintron Voice (DICES) and Data Multiplexer devices....",Systems Communication Engineer - Entry Level
20,http://www.indeed.com/cmp/Liberty-Mutual,Liberty Mutual,http://www.indeed.com/rc/clk?jk=afc5092550209a73&fccid=bba15db4d8763697,"Boston, MA",You will also support these data scientists in manual scoring of data for some deployed complex models. There is also the opportunity to learn to build simple...,Sr. Analyst- Advanced Analytics
21,http://www.indeed.com/cmp/Boeing,BOEING,http://www.indeed.com/rc/clk?jk=733a8f3bb226da46&fccid=edae4285faf6c2f0,"Cape Canaveral, FL","Skilled scientists and thinkers. Bachelor, Master or Doctorate of Science degree from an accredited course of study, in engineering, computer science,...",Software Engineer Entry Level
